LAST SEEN           TYPE      REASON                              OBJECT                                                             MESSAGE
15m                 Normal    Started                             Pod/prometheus-operator-kube-p-admission-patch-qtbbz               Started container patch
15m                 Normal    Completed                           Job/prometheus-operator-kube-p-admission-patch                     Job completed
11m                 Normal    SuccessfulCreate                    ReplicaSet/prometheus-adapter-6b64f7b847                           Created pod: prometheus-adapter-6b64f7b847-zpm8h
11m                 Normal    Scheduled                           Pod/prometheus-adapter-6b64f7b847-zpm8h                            Successfully assigned default/prometheus-adapter-6b64f7b847-zpm8h to minikube
11m                 Normal    ScalingReplicaSet                   Deployment/prometheus-adapter                                      Scaled up replica set prometheus-adapter-6b64f7b847 to 1
11m                 Normal    Pulling                             Pod/prometheus-adapter-6b64f7b847-zpm8h                            Pulling image "registry.k8s.io/prometheus-adapter/prometheus-adapter:v0.12.0"
10m                 Normal    Pulled                              Pod/prometheus-adapter-6b64f7b847-zpm8h                            Successfully pulled image "registry.k8s.io/prometheus-adapter/prometheus-adapter:v0.12.0" in 38.359s (38.359s including waiting). Image size: 89322436 bytes.
10m                 Normal    Created                             Pod/prometheus-adapter-6b64f7b847-zpm8h                            Created container prometheus-adapter
10m                 Normal    Started                             Pod/prometheus-adapter-6b64f7b847-zpm8h                            Started container prometheus-adapter
4m39s               Normal    SuccessfulCreate                    ReplicaSet/scaletestapp-deployment-8dc9df94d                       Created pod: scaletestapp-deployment-8dc9df94d-bvhdm
4m39s               Normal    Scheduled                           Pod/scaletestapp-deployment-8dc9df94d-bvhdm                        Successfully assigned default/scaletestapp-deployment-8dc9df94d-bvhdm to minikube
4m39s               Normal    ScalingReplicaSet                   Deployment/scaletestapp-deployment                                 Scaled up replica set scaletestapp-deployment-8dc9df94d to 2 from 1
4m39s               Normal    SuccessfulRescale                   HorizontalPodAutoscaler/scaletestapp-hpa                           New size: 2; reason: pods metric http_requests_per_second above target
4m38s               Normal    Started                             Pod/scaletestapp-deployment-8dc9df94d-bvhdm                        Started container scaletestapp
4m38s               Normal    Created                             Pod/scaletestapp-deployment-8dc9df94d-bvhdm                        Created container scaletestapp
4m38s               Normal    Pulled                              Pod/scaletestapp-deployment-8dc9df94d-bvhdm                        Container image "shestera/scaletestapp:latest" already present on machine
